ff9d 0057 // group 0 point0
fed9 0142 // group 0 point1
0042 ffdc // group 0 point2
fef9 00eb // group 0 point3
ff80 ff4b // group 0 point4
0102 00e5 // group 0 point5
0070 00cb // group 0 point6
ffcd ffa5 // group 0 point7
0076 00ef // group 0 point8
ff4b ffca // group 0 point9
0043 00bd // group 0 point10
0072 0130 // group 0 point11
fefd ff25 // group 0 point12
00e7 fee2 // group 0 point13
ff2c 00ca // group 0 point14
00e3 0064 // group 0 point15
0048 00ca // group 0 point16
ff3a 003d // group 0 point17
002e ffb2 // group 0 point18
005e 0063 // group 0 point19
ff21 003e // group 0 point20
ffab fee2 // group 0 point21
ffb4 00e0 // group 0 point22
ff07 ff13 // group 0 point23
0086 ffb3 // group 0 point24
ff84 fef8 // group 0 point25
ff95 ffe5 // group 0 point26
004d ff38 // group 0 point27
ff28 00f6 // group 0 point28
ffd0 ffff // group 0 point29
0050 ff09 // group 0 point30
003f ff0f // group 0 point31
fefb 00f7 // group 0 point32
ff83 00dc // group 0 point33
ff06 ffc2 // group 0 point34
0039 0109 // group 0 point35
fec6 00fb // group 0 point36
ffc6 00c5 // group 0 point37
ffe0 ff0d // group 0 point38
fef9 0029 // group 0 point39
0070 ffb9 // group 0 point40
fefd fedc // group 0 point41
ffc3 fef3 // group 0 point42
fef6 ff04 // group 0 point43
00f9 ff11 // group 0 point44
0047 ff70 // group 0 point45
0070 ffa6 // group 0 point46
00ff ffba // group 0 point47
0040 0048 // group 0 point48
00f6 00ad // group 0 point49
fef6 ff94 // group 0 point50
ff94 ff2d // group 0 point51
fef1 ffd4 // group 0 point52
ff2d 00f4 // group 0 point53
ffbc ff28 // group 0 point54
00c3 ffaf // group 0 point55
0054 ff25 // group 0 point56
ff18 0052 // group 0 point57
0081 002f // group 0 point58
00f7 ff18 // group 0 point59
ff3a 003c // group 0 point60
0102 ffb7 // group 0 point61
ff9c ff9f // group 0 point62
004f fefb // group 0 point63
00e5 ff83 // group 0 point64
ff7c 00d5 // group 0 point65
ff2c 010e // group 0 point66
00f9 00f5 // group 0 point67
ffc7 004e // group 0 point68
ff25 003c // group 0 point69
ffbd ffaa // group 0 point70
ff9f 0050 // group 0 point71
012b 0030 // group 0 point72
ffc6 0103 // group 0 point73
00f2 00e4 // group 0 point74
0038 001f // group 0 point75
00d3 ffd3 // group 0 point76
ff01 00e4 // group 0 point77
0105 ffc9 // group 0 point78
ff4b ff95 // group 0 point79
fefe ffa0 // group 1 point0
00e1 ff27 // group 1 point1
0114 0124 // group 1 point2
0101 ff07 // group 1 point3
003d ff0d // group 1 point4
00f4 0008 // group 1 point5
ff86 ff9e // group 1 point6
fef8 fecb // group 1 point7
ff94 ffbb // group 1 point8
0036 00e5 // group 1 point9
ffff fefb // group 1 point10
0035 0056 // group 1 point11
ff26 ff36 // group 1 point12
00e7 0107 // group 1 point13
0032 0045 // group 1 point14
ff2c ff0b // group 1 point15
0063 003b // group 1 point16
fee6 00eb // group 1 point17
0006 0118 // group 1 point18
0109 00e7 // group 1 point19
0043 ff34 // group 1 point20
ff35 ffbc // group 1 point21
ff9d 00ec // group 1 point22
0023 ffc6 // group 1 point23
ff03 fee4 // group 1 point24
ffe2 0041 // group 1 point25
ff3e fec2 // group 1 point26
fef2 ff2b // group 1 point27
ff87 ffcb // group 1 point28
0053 ff0a // group 1 point29
005b 0059 // group 1 point30
ff71 ff3f // group 1 point31
0032 ffc2 // group 1 point32
00f9 ffd9 // group 1 point33
ffa2 0052 // group 1 point34
00f1 ffb9 // group 1 point35
ffbd fef5 // group 1 point36
00e2 ffb4 // group 1 point37
ffa0 00d0 // group 1 point38
fede 00e7 // group 1 point39
005e ffb1 // group 1 point40
0036 ff1f // group 1 point41
0041 ff83 // group 1 point42
0115 ffc4 // group 1 point43
00e4 fed8 // group 1 point44
00f5 004f // group 1 point45
0116 0105 // group 1 point46
0028 ff19 // group 1 point47
ffaa 0036 // group 1 point48
0062 0003 // group 1 point49
fef2 ff08 // group 1 point50
004f ffbd // group 1 point51
fec2 feef // group 1 point52
0046 00d0 // group 1 point53
ffed fedf // group 1 point54
ff8f 009f // group 1 point55
0069 feb8 // group 1 point56
ffba 0041 // group 1 point57
ff16 00ef // group 1 point58
ffad ff36 // group 1 point59
ff9b fefa // group 1 point60
fef4 004d // group 1 point61
ffec ff83 // group 1 point62
